sku;fecha;udsStock
1;20200315;441
1;20200316;441
1;20200317;441
1;20200318;441
1;20200319;441
1;20200320;441
1;20200321;441
1;20200322;441
1;20200323;441
1;20200324;441
1;20200325;441
1;20200326;441
1;20200327;441
1;20200328;441
1;20200329;441
1;20200330;441
1;20200331;441
1;20200401;441
1;20200402;441
1;20200403;441
1;20200404;441
1;20200405;441
1;20200406;441
1;20200407;441
1;20200408;441
1;20200409;441
1;20200410;441
1;20200411;441
1;20200412;441
1;20200413;441
1;20200414;441
1;20200415;441
1;20200416;441
1;20200417;441
1;20200418;441
1;20200419;441
1;20200420;441
1;20200421;441
1;20200422;441
1;20200423;441
1;20200424;441
1;20200425;441
1;20200426;441
1;20200427;441
1;20200428;441
1;20200429;441
1;20200430;441
1;20200501;441
1;20200502;441
1;20200503;441
1;20200504;441
1;20200505;441
1;20200506;441
1;20200507;441
1;20200508;441
1;20200509;441
1;20200510;441
1;20200511;441
1;20200512;441
1;20200513;441
1;20200514;441
1;20200515;441
1;20200516;441
1;20200517;441
1;20200518;441
1;20200519;441
1;20200520;406
1;20200521;378
1;20200522;315
1;20200523;273
1;20200524;245
1;20200525;245
1;20200526;203
1;20200527;756
1;20200528;728
1;20200529;700
1;20200530;637
1;20200531;637
1;20200601;637
1;20200602;616
1;20200603;616
1;20200604;595
1;20200605;574
1;20200606;546
1;20200607;476
1;20200608;476
1;20200609;448
1;20200610;1071
1;20200611;1022
1;20200612;987
1;20200613;987
1;20200614;931
1;20200615;931
1;20200616;861
1;20200617;840
1;20200618;833
1;20200619;756
1;20200620;700
1;20200621;672
1;20200622;672
1;20200623;616
1;20200624;644
1;20200625;644
1;20200626;567
1;20200627;504
1;20200628;469
1;20200629;469
1;20200630;441
1;20200701;658
1;20200702;595
1;20200703;518
1;20200704;490
1;20200705;434
1;20200706;434
1;20200707;308
1;20200708;595
1;20200709;553
1;20200710;511
1;20200711;483
1;20200712;441
1;20200713;441
1;20200714;385
1;20200715;700
1;20200716;665
1;20200717;658
1;20200718;602
1;20200719;546
1;20200720;546
1;20200721;518
1;20200722;658
1;20200723;637
1;20200724;602
1;20200725;581
1;20200726;539
1;20200727;539
1;20200728;483
1;20200729;574
1;20200730;511
1;20200731;462
1;20200801;399
1;20200802;203
1;20200803;203
1;20200804;175
1;20200805;700
